title|score|comments|writer|time|timestamp|urlIntel OEM Private Key Leak: A Blow to UEFI Secure Boot Security (securityonline.info)|534|280|transpute|9 hours ago|2023-05-06T17:39:14|https://securityonline.info/intel-oem-private-key-leak-a-blow-to-uefi-secure-boot-security/
Nintendo issues DMCA takedown for Switch homebrew projects (gbatemp.net)|72|37|RayyanAnsari|2 hours ago|2023-05-07T00:40:08|https://gbatemp.net/threads/nintendo-reportedly-issues-dmca-takedown-for-switch-homebrew-projects-skyline-switch-emulator-development-ceased.632406/
EU ready to back immediate open access without author fees (researchprofessionalnews.com)|164|57|daenney|6 hours ago|2023-05-06T20:26:22|https://www.researchprofessionalnews.com/rr-news-europe-infrastructure-2023-5-eu-ready-to-back-immediate-open-access-without-author-fees/
Tunnel of Eupalinos (wikipedia.org)|56|4|Thevet|4 hours ago|2023-05-06T06:02:36|https://en.wikipedia.org/wiki/Tunnel_of_Eupalinos
FaaS in Go with WASM, WASI and Rust (thegreenplace.net)|48|1|ibobev|3 hours ago|2023-05-06T23:43:58|https://eli.thegreenplace.net/2023/faas-in-go-with-wasm-wasi-and-rust/
qsort.h – Quicksort as a C macro (2019) (github.com/svpv)|22|2|olitech|2 hours ago|2023-05-07T00:20:43|https://github.com/svpv/qsort
I downloaded all 1.6M posts on Bluesky (worthdoingbadly.com)|179|155|crecker|5 hours ago|2023-05-06T21:28:49|https://worthdoingbadly.com/bsky/
RedisRaft (github.com/redislabs)|5|0|anhldbk|51 minutes ago|2023-05-07T02:17:10|https://github.com/RedisLabs/redisraft/blob/master/docs/Introduction.md
Sony Playstation 2 Development Kit (retroreversing.com)|78|31|ericzawo|6 hours ago|2023-05-06T20:40:11|https://www.retroreversing.com/playstation-2-development-hardware
Give It the Craigslist Test (ericaheinz.com)|274|108|promiseofbeans|11 hours ago|2023-05-05T08:48:00|https://ericaheinz.com/notes/give-it-the-craigslist-test/
Show HN: Git Hooting (git.ht)|18|3|fullmeta|2 hours ago|2023-05-07T00:29:28|https://git.ht
FDA Finalizes Rule to Deregulate Hearing Aids (fda.gov)|166|75|the88doctor|11 hours ago|2023-05-06T15:45:30|https://www.fda.gov/news-events/press-announcements/fda-finalizes-historic-rule-enabling-access-over-counter-hearing-aids-millions-americans
Progress on running Haiku OS on VisionFive 2 RISC-V dev board (haiku-os.org)|106|10|nixcraft|9 hours ago|2023-05-06T18:04:16|https://discuss.haiku-os.org/t/progress-on-running-haiku-on-visionfive-2/13369?page=2
Language Learning with Netflix (languagelearningwithnetflix.com)|132|50|impoppy|9 hours ago|2023-05-06T17:46:59|https://languagelearningwithnetflix.com/
ACM Software System Award Given to seL4 Microkernel (acm.org)|189|50|pjmlp|11 hours ago|2023-05-06T15:25:17|https://awards.acm.org/software-system
Motorola’s 1990s Corvette EV Project (thedrive.com)|72|22|mauvehaus|9 hours ago|2023-05-05T11:44:03|https://www.thedrive.com/features/the-untold-story-of-motorolas-secret-1990s-corvette-ev-project-who-killed-the-electric-corvette
A Short History of DragThing – Ten Years of Tidying Up Your Desktop (dragthing.com)|25|8|thunderbong|5 hours ago|2023-05-04T06:55:31|https://www.dragthing.com/english/tenyears.html
Mailbox.org discovers unencrypted password transmission in myMail (mailbox.org)|28|1|lis|6 hours ago|2023-05-06T20:58:34|https://mailbox.org/en/post/mailbox-org-discovers-unencrypted-password-transmission-in-mymail
